hsa:645954;SVILP1;supervillin pseudogene 1
hsa:100312957;RNU1-6;RNA, U1 small nuclear 6
hsa:100170222;SNAR-I,snaR-3;small ILF3/NF90-associated RNA I
hsa:26865;RNU1-7;RNA, U1 small nuclear 7
hsa:677793;SNORA2A,ACA2A;small nucleolar RNA, H/ACA box 2A
hsa:677794;SNORA2B,ACA2b;small nucleolar RNA, H/ACA box 2B
hsa:677798;SNORA9,ACA9;small nucleolar RNA, H/ACA box 9
hsa:26866;RNU1-8;RNA, U1 small nuclear 8
hsa:26806;SNORD44,RNU44,U44;small nucleolar RNA, C/D box 44
hsa:26864;RNU1-9;RNA, U1 small nuclear 9
hsa:26812;SNORD37,RNU37,U37;small nucleolar RNA, C/D box 37
hsa:6060;RNU1-4,HSD2,HSD5,HSD6,HSD7,RNU1,RNU1D2,RNU1E2,RNU1F1,RNU1G1,RNU1G2,U1B2,U1D2,U1E2,U1F;RNA, U1 small nuclear 4
hsa:677803;SNORA15,ACA15;small nucleolar RNA, H/ACA box 15
hsa:677804;SNORA17,ACA17;small nucleolar RNA, H/ACA box 17
hsa:677805;SNORA18,ACA18;small nucleolar RNA, H/ACA box 18
hsa:100036563;SNORD115-24,HBII-52-24;small nucleolar RNA, C/D box 115-24
hsa:677807;SNORA22,ACA22;small nucleolar RNA, H/ACA box 22
hsa:677808;SNORA23,ACA23;small nucleolar RNA, H/ACA box 23
hsa:677809;SNORA24,ACA24;small nucleolar RNA, H/ACA box 24
hsa:677811;SNORA28,ACA28;small nucleolar RNA, H/ACA box 28
hsa:677812;SNORA29,ACA29;small nucleolar RNA, H/ACA box 29
hsa:677814;SNORA31,ACA31;small nucleolar RNA, H/ACA box 31
hsa:677815;SNORA34,ACA34;small nucleolar RNA, H/ACA box 34
hsa:6082;SNORD20,RNU20,U20;small nucleolar RNA, C/D box 20
hsa:26767;RNU105B,105B,E1-2;RNA, U105B small nucleolar
hsa:677820;SNORA38,ACA38;small nucleolar RNA, H/ACA box 38
hsa:677821;SNORA39,ACA39;small nucleolar RNA, H/ACA box 39
hsa:677792;SNORA1,ACA1;small nucleolar RNA, H/ACA box 1
hsa:26781;SNORA67,RNU67,U67;small nucleolar RNA, H/ACA box 67
hsa:677822;SNORA40,ACA40;small nucleolar RNA, H/ACA box 40
hsa:594837;SNORD101,U101;small nucleolar RNA, C/D box 101
hsa:100113393;SNORD12B;small nucleolar RNA, C/D box 12B
hsa:594838;SNORD100,HBII-429;small nucleolar RNA, C/D box 100
hsa:26786;SNORD62A,RNU62,U62,U62A;small nucleolar RNA, C/D box 62A
hsa:100113389;SNORD127;small nucleolar RNA, C/D box 127
hsa:100191063;SNAR-A14;small ILF3/NF90-associated RNA A14
hsa:677825;SNORA44,ACA44;small nucleolar RNA, H/ACA box 44
hsa:26821;SNORA74A,RNU19,U19;small nucleolar RNA, H/ACA box 74A
hsa:594839;SNORA33,ACA33;small nucleolar RNA, H/ACA box 33
hsa:100170228;SNAR-G2;small ILF3/NF90-associated RNA G2
hsa:677827;SNORA46,ACA46;small nucleolar RNA, H/ACA box 46
hsa:100124534;SNORA84;small nucleolar RNA, H/ACA box 84
hsa:100113391;SNORD126,MIR1201,MIRN1201;small nucleolar RNA, C/D box 126
hsa:641451;SNORA19,ACA19;small nucleolar RNA, H/ACA box 19
hsa:677830;SNORA50,ACA50;small nucleolar RNA, H/ACA box 50
hsa:7686;MKRN7P,MKRNP3,ZNF127L5,dJ981L23.2;makorin ring finger protein 7, pseudogene
hsa:100170227;SNAR-D;small ILF3/NF90-associated RNA D
hsa:29065;ASAP1-IT1,ASAP1-IT,ASAP1IT,ASAP1IT1,DDEF1IT1,HSPC054,NCRNA00050;ASAP1 intronic transcript 1 (non-protein coding)
hsa:9288;TAAR3,GPR57,GPR58,TAAR2;trace amine associated receptor 3 (gene/pseudogene)
hsa:93556;EGFEM1P,C3orf50,NCRNA00259;EGF-like and EMI domain containing 1, pseudogene
hsa:3116;HLA-DPB2,DP2B,DPB2,DPbeta2,HLA-DP2B;major histocompatibility complex, class II, DP beta 2 (pseudogene)
hsa:56663;VTRNA1-2,HVG2,VAULTRC2,VR2,hvg-2;vault RNA 1-2
hsa:56662;VTRNA1-3,HVG3,VAULTRC3,VR3,hvg-3;vault RNA 1-3
hsa:26255;PTTG3P,PTTG3,rcPTTG1;pituitary tumor-transforming 3, pseudogene
hsa:644314;MT1IP,MT1,MT1I,MTE;metallothionein 1I, pseudogene
hsa:7146;TNXA,D6S103E,HXBL,TNX,XA;tenascin XA (pseudogene)
hsa:442211;ATP6V0CP3;ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c pseudogene 3
hsa:100616530;;tospeak
hsa:619383;SCARNA9,Z32,mgU2-19/30;small Cajal body-specific RNA 9
hsa:677766;SCARNA2,HBII-382,mgU2-25/61;small Cajal body-specific RNA 2
hsa:100124533;SCARNA27;small Cajal body-specific RNA 27
hsa:692148;SCARNA10,U85;small Cajal body-specific RNA 10
hsa:692149;SCARNA14,U100;small Cajal body-specific RNA 14
hsa:677679;SCARNA3,HBI-100;small Cajal body-specific RNA 3
hsa:677681;SCARNA20,ACA66;small Cajal body-specific RNA 20
hsa:677763;SCARNA21,ACA68;small Cajal body-specific RNA 21
hsa:677767;SCARNA7,U90;small Cajal body-specific RNA 7
hsa:677768;SCARNA13,U93;small Cajal body-specific RNA 13
hsa:677770;SCARNA22,ACA11;small Cajal body-specific RNA 22
hsa:677772;SCARNA6,U88;small Cajal body-specific RNA 6
hsa:677773;SCARNA23,ACA12;small Cajal body-specific RNA 23
hsa:677776;SCARNA8,U92;small Cajal body-specific RNA 8
hsa:677778;SCARNA15,ACA45;small Cajal body-specific RNA 15
hsa:677780;SCARNA11,ACA57;small Cajal body-specific RNA 11
hsa:677781;SCARNA16,ACA47;small Cajal body-specific RNA 16
hsa:677769;SCARNA17,U91;small Cajal body-specific RNA 17
hsa:677774;SCARNA1,ACA35;small Cajal body-specific RNA 1
hsa:653162;RPSAP9,LAMR1P9,RPSA_20_986;ribosomal protein SA pseudogene 9
hsa:284232;ANKRD20A9P;ankyrin repeat domain 20 family, member A9, pseudogene
hsa:171220;DSTNP2;destrin (actin depolymerizing factor) pseudogene 2
hsa:83869;TTTY14,CYorf14,NCRNA00137,NCRNA00185,PRO2834,TTY14;testis-specific transcript, Y-linked 14 (non-protein coding)
hsa:441046;GUSBP5,GYPELOC441046;glucuronidase, beta pseudogene 5
hsa:642006;GUSBP10;glucuronidase, beta pseudogene 10
hsa:100130673;;phosphoribosyl pyrophosphate synthetase 2 pseudogene
hsa:3311;HSPA7,HSP70B;heat shock 70kDa protein 7 (HSP70B)
hsa:222699;TOB2P1,TOB2P,TOB4p,p373c6.3;transducer of ERBB2, 2 pseudogene 1
hsa:677836;SNORA58,ACA58;small nucleolar RNA, H/ACA box 58
hsa:644189;;acyl-CoA thioesterase 4 pseudogene
hsa:23782;AP1B1P1,ADTB1L1,dJ127L4.2;adaptor-related protein complex 1, beta 1 subunit pseudogene 1
hsa:348926;FAM86EP;family with sequence similarity 86, member A pseudogene
hsa:653113;FAM86FP;family with sequence similarity 86, member A pseudogene
hsa:677819;SNORA37,ACA37;small nucleolar RNA, H/ACA box 37
hsa:387254;SLC7A5P2,IMAA,MMAA;solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 2
hsa:85389;SNORD14C;small nucleolar RNA, C/D box 14C
hsa:26785;SNORD63,RNU63,U63;small nucleolar RNA, C/D box 63
hsa:677843;SNORA77,ACA63;small nucleolar RNA, H/ACA box 77
hsa:85390;SNORD14D;small nucleolar RNA, C/D box 14D
hsa:85391;SNORD14E;small nucleolar RNA, C/D box 14E
hsa:100652931;;RNA binding motif protein, Y-linked, family 1, member B pseudogene
hsa:606551;UBE2MP1;ubiquitin-conjugating enzyme E2M pseudogene 1
hsa:401980;;4933406M09Rik pseudogene
hsa:26829;RNU5E-1,RNU5E,U5E;RNA, U5E small nuclear 1
hsa:26828;RNU5F-1,RNU5F,U5F;RNA, U5F small nuclear 1
hsa:26831;RNU5A-1,RNU5,RNU5A,RNU5C,U5A,U5B1;RNA, U5A small nuclear 1
hsa:26830;RNU5D-1,RNU5D,U5DL,U5DS;RNA, U5D small nuclear 1
hsa:1590;CYP21A1P,CYP21A,CYP21P,P450c21A;cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene
hsa:119437;CTAGE7P,CTAGE7,CTAGEP,bA500G10.2,rcCTAGE5;CTAGE family, member 7, pseudogene
hsa:399746;ACTR3BP5,FKSG74;ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5
hsa:641373;NRON,NCRNA00194;non-protein coding RNA, repressor of NFAT
hsa:93668;HPYR1,HPRG1,LINC00027,NCRNA00027;Helicobacter pylori responsive 1 (non-protein coding)
hsa:100422903;MIR4288;microRNA 4288
hsa:6029;RN7SL1,7L1a,7SL,RN7SL,RNSRP1;RNA, 7SL, cytoplasmic 1
hsa:7696;ZNF137P,ZNF137,pHZ-30;zinc finger protein 137, pseudogene
hsa:4213;MEIS3P1,MEIS3,MEIS4,MRG2;Meis homeobox 3 pseudogene 1
hsa:6719;SRD5A1P1,SRD5AP1;steroid-5-alpha-reductase, alpha polypeptide 1 pseudogene 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha pseudogene)
hsa:6066;RNU2-1,RNU2,U2;RNA, U2 small nuclear 1
hsa:6084;RNY1,HY1,Y1;RNA, Ro-associated Y1
hsa:245;ALOX12P2,ALOX12E;arachidonate 12-lipoxygenase pseudogene 2
hsa:114760;TTTY3,LINC00121,NCRNA00121,TTTY3A,TTY3;testis-specific transcript, Y-linked 3 (non-protein coding)
hsa:257357;BRWD1-IT2,C21orf87,NCRNA00257;BRWD1 intronic transcript 2 (non-protein coding)
hsa:440072;LINC00167,C11orf37,NCRNA00167;long intergenic non-protein coding RNA 167
hsa:60439;TTTY2,NCRNA00109,TTY2,lINC00109;testis-specific transcript, Y-linked 2 (non-protein coding)
hsa:649159;LINC00273,NCRNA00273,TOP;long intergenic non-protein coding RNA 273
hsa:283267;LINC00294,NCRNA00294;long intergenic non-protein coding RNA 294
hsa:205251;LINC00116,NCRNA00116;long intergenic non-protein coding RNA 116
hsa:359822;KCNIP4-IT1,NCRNA00099,UM9(5),UM9-5;KCNIP4 intronic transcript 1 (non-protein coding)
hsa:79854;LINC00115,NCRNA00115;long intergenic non-protein coding RNA 115
hsa:64433;LINC00244,C7orf4,NCRNA00244;long intergenic non-protein coding RNA 244
hsa:64735;LINC00254,C16orf32,NCRNA00254;long intergenic non-protein coding RNA 254
hsa:64493;LINC00235,C16orf10,NCRNA00235;long intergenic non-protein coding RNA 235
hsa:6083;SNORD21,RNU21,U21;small nucleolar RNA, C/D box 21
hsa:10151;HNRNPA3P1,D10S102,FBRNP,HNRPA3,HNRPA3P1;heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
hsa:1057;CELP,CELL,cell1,cell2,cell3;carboxyl ester lipase pseudogene
hsa:441543;TTTY6B,LINC00128,NCRNA00128,TTTY6,TTY6;testis-specific transcript, Y-linked 6B (non-protein coding)
hsa:440184;LINC00238,C14orf53,NCRNA00238;long intergenic non-protein coding RNA 238
hsa:80035;ANP32A-IT1,C15orf28,HsT18971,NCRNA00321;ANP32A intronic transcript 1 (non-protein coding)
hsa:8552;INE1,NCRNA00010;inactivation escape 1 (non-protein coding)
hsa:100551499;LINC00159,C21orf44,NCRNA00159;long intergenic non-protein coding RNA 159
hsa:8847;DLEU2,1B4,BCMSUN,DLB2,LEU2,LINC00022,MIR15AHG,NCRNA00022,RFP2OS,TRIM13OS;deleted in lymphocytic leukemia 2 (non-protein coding)
hsa:474150;TTTY4C,LINC00125,NCRNA00125;testis-specific transcript, Y-linked 4C (non-protein coding)
hsa:474149;TTTY4B,LINC00124,NCRNA00124;testis-specific transcript, Y-linked 4B (non-protein coding)
hsa:8511;MMP23A,MIFR,MIFR-1,MMP21;matrix metallopeptidase 23A (pseudogene)
hsa:79992;AGPAT4-IT1,C6orf59,NCRNA00241;AGPAT4 intronic transcript 1 (non-protein coding)
hsa:29034;CPS1-IT1,CPS1-IT,CPS1IT,CPS1IT1,PRO0132;CPS1 intronic transcript 1 (non-protein coding)
hsa:26787;SNORD61,HBII-342,RNU61,U61;small nucleolar RNA, C/D box 61
hsa:26782;SNORA66,RNU66,U66;small nucleolar RNA, H/ACA box 66
hsa:26799;SNORD50A,RNU50,U50;small nucleolar RNA, C/D box 50A
hsa:54441;STAG3L1,STAG3L2,STAG3L3;stromal antigen 3-like 1
hsa:23629;BRD7P3,BP75;bromodomain containing 7 pseudogene 3
hsa:27160;INGX,ING1-like,ING2;inhibitor of growth family, X-linked, pseudogene
hsa:26247;OR2L1P,HSHTPCRX02,HTPCRX02,OR2L1,OR2L7P;olfactory receptor, family 2, subfamily L, member 1 pseudogene
hsa:25826;SNORD82,RNU82,U82,Z25;small nucleolar RNA, C/D box 82
hsa:53844;COPG2IT1,CIT1,COPG2AS,DKFZP761N09121,NCRNA00170;COPG2 imprinted transcript 1 (non-protein coding)
hsa:26779;SNORA69,RNU69,U69,U69A;small nucleolar RNA, H/ACA box 69
hsa:26184;OR1F2P,OLFMF2,OR16-3,OR1F11,OR1F2,OR1F3P,hg91;olfactory receptor, family 1, subfamily F, member 2
hsa:26226;FBXW4P1,FBW3,FBXW3,SHFM3P1;F-box and WD repeat domain containing 4 pseudogene 1
hsa:11209;MST1P2,MSPL-1,MSPL-2,MSPL-3,MSPL1,MSPL2,MSPL3,MSTP1,MSTP2,MSTP3;macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2
hsa:26807;SNORD43,RNU43,U43;small nucleolar RNA, C/D box 43
hsa:56664;VTRNA1-1,HVG1,VAULTRC1,VR1,hvg-1,vRNA;vault RNA 1-1
hsa:26343;OR5E1P,HSTPCR24,OR5E1,TPCR24;olfactory receptor, family 5, subfamily E, member 1 pseudogene
hsa:10821;OR7E12P,HG1058,OR11-3,OR7E58P,OR7E79P,OR7E81P,OST021;olfactory receptor, family 7, subfamily E, member 12 pseudogene
hsa:83864;TTTY9A,NCRNA00131,TTTY9,TTY9;testis-specific transcript, Y-linked 9A (non-protein coding)
hsa:114814;GNRHR2,GnRH-II-R;gonadotropin-releasing hormone (type 2) receptor 2
hsa:139538;VENTXP1,CT18,NA88A,VENTX2P1;VENT homeobox pseudogene 1
hsa:89883;OR6W1P,OR6W1,sdolf;olfactory receptor, family 6, subfamily W, member 1 pseudogene
hsa:118433;RPL23AP7,RPL23AL1,RPL23A_6_267,bA395L14.9;ribosomal protein L23a pseudogene 7
hsa:119369;NUDT9P1,C10orf98,bA56M3.1;nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1
hsa:128854;TSPY26P,TSPYL3,bA392M18.1;testis specific protein, Y-linked 26, pseudogene
hsa:139420;SMEK3P,FLFL3P,smk1;SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene
hsa:81343;OR10V2P;olfactory receptor, family 10, subfamily V, member 2 pseudogene
hsa:148898;C1orf213;chromosome 1 open reading frame 213
hsa:114758;CSPG4P1Y,CSPG4LY,CSPG4LYP1,CSPG4P1,CSPG4PY1;chondroitin sulfate proteoglycan 4 pseudogene 1, Y-linked
hsa:155060;;AI894139 pseudogene
hsa:84832;ANKRD36BP1,ANKRD26L1,ANKRD36BL1;ankyrin repeat domain 36B pseudogene 1
hsa:84996;C21orf119;chromosome 21 open reading frame 119
hsa:219525;OR5AK4P,PJCG3;olfactory receptor, family 5, subfamily AK, member 4 pseudogene
hsa:155400;NSUN5P1,NSUN5B,WBSCR20B;NOP2/Sun domain family, member 5 pseudogene 1
hsa:84559;GOLGA2P2Y,GOLGA2LY,GOLGA2LY1,GOLGA2P2;golgin A2 pseudogene 2, Y-linked
hsa:79686;LINC00341,C14orf139,NCRNA00341;long intergenic non-protein coding RNA 341
hsa:116936;RNU86,U82,U86;RNA, U86 small nucleolar
hsa:116937;SNORD83A,RNU83A,U83A;small nucleolar RNA, C/D box 83A
hsa:116938;SNORD83B,RNU83B,U83B;small nucleolar RNA, C/D box 83B
hsa:85495;RPPH1,H1RNA;ribonuclease P RNA component H1
hsa:128872;HMGB3P1,HMG4L,HMGB3L1,dJ18C9.3;high mobility group box 3 pseudogene 1
hsa:202299;C5orf27,FIS;chromosome 5 open reading frame 27
hsa:81893;SLC7A5P1,DC49,LAT1-3TM,MLAS,hLAT1-3TM;solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 1
hsa:80039;FAM106A;family with sequence similarity 106, member A
hsa:206426;PIP5K1P1;phosphatidylinositol-4-phosphate 5-kinase, type I, pseudogene 1
hsa:138649;ANKRD19P,ANKRD19,bA526D8.2;ankyrin repeat domain 19, pseudogene
hsa:388965;FUNDC2P2;FUN14 domain containing 2 pseudogene 2
hsa:252949;TTTY17A,NCRNA00140,TTTY17;testis-specific transcript, Y-linked 17A (non-protein coding)
hsa:401010;;nucleolar complex associated 2 homolog (S. cerevisiae) pseudogene
hsa:378706;RN7SL2,7L1C,7L30.1,7SL1c,RNSRP2;RNA, 7SL, cytoplasmic 2
hsa:283487;LINC00346,C13orf29,NCRNA00346;long intergenic non-protein coding RNA 346
hsa:376693;RPS10P7,RPS10_2_147;ribosomal protein S10 pseudogene 7
hsa:266971;PIPSL,PIP5K1L1,PIP5K1P3,PSMD4P2,bA429H9.1;PIP5K1A and PSMD4-like, pseudogene
hsa:389705;;chromosome 4 open reading frame 27 pseudogene
hsa:283687;C15orf37;chromosome 15 open reading frame 37
hsa:388762;OR2M1P,JCG10,OR2M1,OST037;olfactory receptor, family 2, subfamily M, member 1 pseudogene
hsa:374650;GOLGA6L5,GOLGA6L8;golgin A6 family-like 5 (pseudogene)
hsa:284942;RPL23AP82,RPL23A_43_1761;ribosomal protein L23a pseudogene 82
hsa:401509;ZNF658B;zinc finger protein 658B, pseudogene
hsa:401634;GOLGA2P3Y,GOLGA2LY2,GOLGA2P3;golgin A2 pseudogene 3, Y-linked
hsa:391518;VENTXP7,HPX42,VENTX1;VENT homeobox pseudogene 7
hsa:360132;FKBP9L;FK506 binding protein 9-like
hsa:339044;PKD1P1,HG1;polycystic kidney disease 1 (autosomal dominant) pseudogene 1
hsa:390539;OR4N3P,OR15-2;olfactory receptor, family 4, subfamily N, member 3 pseudogene
hsa:375260;WASH2P,FAM39B;WAS protein family homolog 2 pseudogene
hsa:246181;AKR7L,AFAR3,AFB1-AR3,AKR7A4;aldo-keto reductase family 7-like
hsa:400892;BCRP2,BCR-2,BCR2,BCRL2;breakpoint cluster region pseudogene 2
hsa:339483;MTMR9LP,MTMR9L;myotubularin related protein 9-like, pseudogene
hsa:401428;OR2A20P,OR2A20;olfactory receptor, family 2, subfamily A, member 20 pseudogene
hsa:348254;CCDC144CP,CCDC144C;coiled-coil domain containing 144C, pseudogene
hsa:283102;KRT8P41;keratin 8 pseudogene 41
hsa:387751;GVINP1,GVIN1,GVIN1P,VLIG-1,VLIG1;GTPase, very large interferon inducible pseudogene 1
hsa:677835;SNORA56,ACA56;small nucleolar RNA, H/ACA box 56
hsa:677841;SNORA74B,U19-2;small nucleolar RNA, H/ACA box 74B
hsa:677847;SNORA81,HBI-61;small nucleolar RNA, H/ACA box 81
hsa:574446;MIR511-2,MIRN511-2,MIR511-1,MIRN511-1;microRNA 511-2
hsa:653492;PSG10P,PSG10,PSG12;pregnancy specific beta-1-glycoprotein 10, pseudogene
hsa:441251;SPDYE7P;speedy homolog E7 (Xenopus laevis), pseudogene
hsa:441295;OR2A9P,FKSG35,HSDJ0798C17,OR2A19,OR2A22P,OR2A9;olfactory receptor, family 2, subfamily A, member 9 pseudogene
hsa:440297;;chondroitin sulfate proteoglycan 4 pseudogene
hsa:692088;SNORD50B,U50',U50B;small nucleolar RNA, C/D box 50B
hsa:677796;SNORA5C,ACA5c;small nucleolar RNA, H/ACA box 5C
hsa:641648;SNORD87,HBII-276,U87;small nucleolar RNA, C/D box 87
hsa:728609;SDHAP3,SDHACL,SDHAL;succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 3
hsa:440253;WHAMMP2,WHAMML2,WHDC1L2;WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2
hsa:645996;NAP1L6;nucleosome assembly protein 1-like 6
hsa:503645;DPRXP4;divergent-paired related homeobox pseudogene 4
hsa:677765;SCARNA18,U109;small Cajal body-specific RNA 18
hsa:503640;ARGFXP2;arginine-fifty homeobox pseudogene 2
hsa:729171;ANKRD20A8P,ANKRD20B;ankyrin repeat domain 20 family, member A8, pseudogene
hsa:728743;;zinc finger protein pseudogene
hsa:646300;COL6A4P2,COL6A4;collagen, type VI, alpha 4 pseudogene 2
hsa:677777;SCARNA12,U89;small Cajal body-specific RNA 12
hsa:693235;MIR92B,MIRN92B,hsa-mir-92b;microRNA 92b
hsa:645683;RPL13AP3,RPL13A_11_1370;ribosomal protein L13a pseudogene 3
hsa:644936;;actin, beta pseudogene
hsa:653635;WASH7P,FAM39F,WASH5P;WAS protein family homolog 7 pseudogene
hsa:693153;MIR568,MIRN568,hsa-mir-568;microRNA 568
hsa:693167;MIR582,MIRN582,hsa-mir-582;microRNA 582
hsa:653114;FAM74A2;family with sequence similarity 74, member A2
hsa:554206;;leucine carboxyl methyltransferase 1 pseudogene
hsa:693128;MIR548B,MIRN548B;microRNA 548b
hsa:693177;MIR592,MIRN592,hsa-mir-592;microRNA 592
hsa:728773;PABPC1P2,PABP2,PABP4,PABPCP2,PABPCP4;poly(A) binding protein, cytoplasmic 1 pseudogene 2
hsa:730092;RRN3P1;RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 1
hsa:693205;MIR620,MIRN620,hsa-mir-620;microRNA 620
hsa:440672;NUDT4P1,NUDT4P2;nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1
hsa:693224;MIR639,MIRN639,hsa-mir-639;microRNA 639
hsa:693227;MIR642A,MIR642,MIRN642,hsa-mir-642,hsa-mir-642a;microRNA 642a
hsa:440482;ANKRD20A5P,ANKRD20A5;ankyrin repeat domain 20 family, member A5, pseudogene
hsa:646999;;akirin 1 pseudogene
hsa:677799;SNORA11,SNORA11A,U107;small nucleolar RNA, H/ACA box 11
hsa:677800;SNORA12,U108;small nucleolar RNA, H/ACA box 12
hsa:677801;SNORA14A,ACA14a;small nucleolar RNA, H/ACA box 14A
hsa:677802;SNORA14B,ACA14b;small nucleolar RNA, H/ACA box 14B
hsa:677817;SNORA36A,ACA36;small nucleolar RNA, H/ACA box 36A
hsa:474152;TTTY17C,NCRNA00142;testis-specific transcript, Y-linked 17C (non-protein coding)
hsa:647288;CTAGE11P;CTAGE family, member 11, pseudogene
hsa:653166;OR1D4,OR17-30;olfactory receptor, family 1, subfamily D, member 4 (gene/pseudogene)
hsa:677826;SNORA45,ACA3-2;small nucleolar RNA, H/ACA box 45
hsa:644619;INTS4L2;integrator complex subunit 4-like 2
hsa:100423011;MIR3138;microRNA 3138
hsa:100129396;FAM106CP,FAM106C;family with sequence similarity 106, member C pseudogene
hsa:100049076;GUSBP9;glucuronidase, beta pseudogene 9
hsa:100131816;UBE2DNL;ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene)
hsa:100423016;MIR3159;microRNA 3159
hsa:100533990;APOC4-APOC2;APOC4-APOC2 readthrough
hsa:100313892;MIR761,hsa-mir-761;microRNA 761
hsa:100130849;;phosphorylase kinase, gamma 1 (muscle) pseudogene
hsa:100302156;MIR1229,MIRN1229,hsa-mir-1229;microRNA 1229
hsa:100528022;BLOC1S1-RDH5;BLOC1S1-RDH5 readthrough
hsa:643201;;centrosomal protein 192kDa pseudogene
hsa:100422904;MIR3193;microRNA 3193
hsa:100526831;SLX1B-SULT1A4;SLX1B-SULT1A4 readthrough
hsa:100423014;MIR3196;microRNA 3196
hsa:100124541;SNORA11D;small nucleolar RNA, H/ACA box 11D
hsa:100528031;FKBP1A-SDCBP2;FKBP1A-SDCBP2 readthrough (non-protein coding)
hsa:100422940;MIR4305;microRNA 4305
hsa:100532742;PIR-FIGF;PIR-FIGF readthrough
hsa:791115;PWRN2,NCRNA00199;Prader-Willi region non-protein coding RNA 2
hsa:100129534;;small nuclear ribonucleoprotein polypeptide N pseudogene
hsa:100288637;;OTU domain containing 7A pseudogene
hsa:100423020;MIR4258;microRNA 4258
hsa:100533955;SENP3-EIF4A1;SENP3-EIF4A1 readthrough
hsa:100422968;MIR4251;microRNA 4251
hsa:100313938;MIR548G,MIRN548G,hsa-mir-548g;microRNA 548g
hsa:100313884;MIR548H4,MIR548H-4,MIRN548H4,hsa-mir-548h-4;microRNA 548h-4
hsa:100302214;MIR1277,MIRN1277,hsa-mir-1277;microRNA 1277
hsa:100422874;MIR4279;microRNA 4279
hsa:100132923;FAM66D;family with sequence similarity 66, member D
hsa:100302112;MIR1284,MIRN1284,hsa-mir-1284;microRNA 1284
hsa:100422872;MIR1244-3;microRNA 1244-3
hsa:100423024;MIR1270-2;microRNA 1270-2
hsa:100422834;MIR1302-10;microRNA 1302-10
hsa:100302119;MIR1538,MIRN1538,hsa-mir-1538;microRNA 1538
hsa:100302195;MIR320C2,MIR320C-2,MIRN320C2,hsa-mir-320c-2;microRNA 320c-2
hsa:100616193;MIR4453;microRNA 4453
hsa:100337616;CSN1S2BP,CSN1S2B;casein alpha s2-like B, pseudogene
hsa:100126320;MIR920,MIRN920,hsa-mir-920;microRNA 920
hsa:100302278;MIR1302-2,MIRN1302-2,hsa-mir-1302-2;microRNA 1302-2
hsa:100302285;MIR1244-1,MIR1244,MIRN1244,hsa-mir-1244,hsa-mir-1244-1;microRNA 1244-1
hsa:100302179;MIR1270-1,MIR1270,MIRN1270,hsa-mir-1270,hsa-mir-1270-1;microRNA 1270-1
hsa:100129354;NRADDP;neurotrophin receptor associated death domain, pseudogene
hsa:100500908;MIR3613;microRNA 3613
hsa:100271835;;LIMS3-LOC440895 readthrough
hsa:100630923;;LOC100289561-PRKRIP1 readthrough
hsa:100628560;MIR3155B,hsa-mir-3155b;microRNA mir-3155b
hsa:100506759;OR7E37P,OR7E48P,OST193,hg533;olfactory receptor, family 7, subfamily E, member 37 pseudogene
hsa:100616121;MIR1268B;microRNA 1268b
hsa:100500851;MIR3918;microRNA 3918
hsa:100302274;MIR1178,MIRN1178,hsa-mir-1178;microRNA 1178
hsa:100302283;MIR1227,MIRN1227,hsa-mir-1227;microRNA 1227
hsa:100616250;MIR3960;microRNA 3960
